"PSPath";"PSParentPath";"PSChildName";"PSDrive";"PSProvider";"PSIsContainer";"Mode";"BaseName";"Target";"LinkType";"Name";"Parent";"Exists";"Root";"FullName";"Extension";"CreationTime";"CreationTimeUtc";"LastAccessTime";"LastAccessTimeUtc";"LastWriteTime";"LastWriteTimeUtc";"Attributes"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/Bash";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"Bash";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"Bash";;;"Bash";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/Bash";"";"3/26/18 10:30:59 PM";"3/26/18 7:30:59 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"3/26/18 10:31:15 PM";"3/26/18 7:31:15 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/concourse-docker";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"concourse-docker";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"concourse-docker";;;"concourse-docker";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/concourse-docker";"";"8/7/18 11:14:32 PM";"8/7/18 8:14:32 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"8/7/18 11:35:43 PM";"8/7/18 8:35:43 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/docker";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"docker";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"docker";;;"docker";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/docker";"";"3/19/18 8:53:20 PM";"3/19/18 5:53:20 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"6/18/18 3:14:53 AM";"6/18/18 12:14:53 AM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/Dockerized-Powershell-Polaris-Webserver";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"Dockerized-Powershell-Polaris-Webserver";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"Dockerized-Powershell-Polaris-Webserver";;;"Dockerized-Powershell-Polaris-Webserver";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/Dockerized-Powershell-Polaris-Webserver";"";"6/26/18 10:29:51 PM";"6/26/18 7:29:51 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"6/26/18 10:29:53 PM";"6/26/18 7:29:53 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/kubernetes";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"kubernetes";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"kubernetes";;;"kubernetes";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/kubernetes";"";"6/10/18 5:49:37 PM";"6/10/18 2:49:37 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"6/10/18 5:49:49 PM";"6/10/18 2:49:49 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/neo4j-powershell";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"neo4j-powershell";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"neo4j-powershell";;;"neo4j-powershell";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/neo4j-powershell";"";"7/28/18 11:37:24 AM";"7/28/18 8:37:24 AM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"7/28/18 11:37:39 AM";"7/28/18 8:37:39 AM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/Polaris";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"Polaris";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"Polaris";;;"Polaris";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/Polaris";"";"6/25/18 8:47:00 PM";"6/25/18 5:47:00 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"6/25/18 8:47:05 PM";"6/25/18 5:47:05 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/python";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"python";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"python";;;"python";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/python";"";"4/15/18 11:44:57 PM";"4/15/18 8:44:57 PM";"8/24/18 11:42:43 AM";"8/24/18 8:42:43 AM";"8/24/18 11:35:05 AM";"8/24/18 8:35:05 AM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/Vagrant";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"Vagrant";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"Vagrant";;;"Vagrant";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/Vagrant";"";"3/13/18 11:50:17 PM";"3/13/18 8:50:17 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"6/10/18 5:48:44 PM";"6/10/18 2:48:44 PM";"Directory"
"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git/vagrant_windows";"Microsoft.PowerShell.Core\FileSystem::/Users/cansinaldanmaz/Downloads/Workspace/Git";"vagrant_windows";"/";"Microsoft.PowerShell.Core\FileSystem";"True";"d-----";"vagrant_windows";;;"vagrant_windows";"Git";"True";"/";"/Users/cansinaldanmaz/Downloads/Workspace/Git/vagrant_windows";"";"4/26/18 1:25:41 AM";"4/25/18 10:25:41 PM";"8/24/18 11:44:51 AM";"8/24/18 8:44:51 AM";"4/27/18 7:54:49 PM";"4/27/18 4:54:49 PM";"Directory"
